id,name_id,desc_id,name,desc,sect_id
ID以4开头(400+sect_id),名称ID,描述ID,宗门驻地名称,宗门驻地描述,对应宗门ID
401,SECT_REGION_401_NAME,SECT_REGION_401_DESC,绝云峰,绝云峰高耸入云，四周罡风环绕，唯有剑修可御剑而上。山上设有弟子修炼之地，环境清幽。,1
402,SECT_REGION_402_NAME,SECT_REGION_402_DESC,万兽窟,万兽窟位于十万大山腹地，洞窟内妖气冲天，在此可闻万兽咆哮。洞内纵横交错，共有九十九层洞天，每层都驯养着不同品阶的灵兽妖兽。,2
403,SECT_REGION_403_NAME,SECT_REGION_403_DESC,静海涯,听涛阁悬于海边绝壁之上，终年听潮。阁中玉璧倒映星辰大海，宫殿楼阁皆为寒冰灵玉所筑，通体透明，虚实难辨。,3
404,SECT_REGION_404_NAME,SECT_REGION_404_DESC,死寂海,九幽黄泉道位于死寂海群岛上，海水漆黑如墨，无风起浪。传闻海底直通九幽黄泉。海浪起啸之时，万魂齐哭，遮天蔽日。,4
405,SECT_REGION_405_NAME,SECT_REGION_405_DESC,千机谷,千机谷中遍布机关陷阱，看似寻常山谷，踏错一步即死无葬身之地。谷中宫殿楼阁看似华丽却处处暗藏杀机。,5
406,SECT_REGION_406_NAME,SECT_REGION_406_DESC,销金窟,醉梦楼建于繁华闹市之中的独立洞天，歌舞升平，终日不散的迷醉香气。宗门建筑极尽奢华，殿宇楼阁之间云雾缭绕，隐约可见成双成对的弟子在其间修炼。,6
407,SECT_REGION_407_NAME,SECT_REGION_407_DESC,普渡岛,位于海域风暴中心，金光漫天。钟声响起时，风暴止息。宗门建筑立于岛上，以金刚塔为中心，钟声可震慑方圆千里之内的妖魂。,7
408,SECT_REGION_408_NAME,SECT_REGION_408_DESC,暗影沼泽,终年迷雾笼罩的剧毒沼泽，这里没有光，只有潜藏在暗处的眼睛。参天巨木、缠绕藤蔓、终日浮游不散的瘴气，将这里与外界完全隔离。,8
409,SECT_REGION_409_NAME,SECT_REGION_409_DESC,多宝浮空岛,万宝仙盟建于多宝浮空岛之上，巨大的浮空岛屿群由无数锁链相连，往来飞舟如云，繁华至极。城中高塔林立，每座塔顶都有炼器炉火日夜不息。,9
410,SECT_REGION_410_NAME,SECT_REGION_410_DESC,回音谷,特殊的山谷构造使得声音凝而不散。风过之时，如鬼哭神嚎。谷内亭台楼阁错落，丝竹之声终日不绝，看似人间仙境，实则暗藏无数音杀阵法。,10
411,SECT_REGION_411_NAME,SECT_REGION_411_DESC,迷踪天,看似只有一座山，实则包含无数折叠空间。不懂阵法者寸步难行。整座山脉被无数重叠的阵法大阵覆盖，一步一景，一步一险。,11
412,SECT_REGION_412_NAME,SECT_REGION_412_DESC,极光天境,位于极北永夜之地，却被万年不灭的极光笼罩，亮如白昼。城池由万年寒冰与玄铁铸就，在漫天极光的映照下流光溢彩，宛如神迹。,12
413,SECT_REGION_413_NAME,SECT_REGION_413_DESC,圣贤林,位于元衍界中腹，古木参天，碑林林立，每块碑文都蕴含圣人微言大义。林中书声琅琅之声可传十里，是天下浩然正气汇聚之地。,13
414,SECT_REGION_414_NAME,SECT_REGION_414_DESC,修罗血池,山体呈现暗红色，仿佛被鲜血浸透。宗门建于巨大的地下血池之上。山中常有血雾弥漫，怪石嶙峋，随处可见被吸干精血的兽骨枯尸。,14
