chinese,chinese_tw,english,vietnamese,category,subcategory,notes
练气,練氣,Qi Refinement,Luyện Khí,cultivation,realm,First realm - refining qi
筑基,築基,Foundation Establishment,Trúc Cơ,cultivation,realm,Building the foundation
金丹,金丹,Core Formation,Kim Đan,cultivation,realm,Forming the golden core
元婴,元嬰,Nascent Soul,Nguyên Anh,cultivation,realm,Nascent soul emerges
前期,前期,Early Stage,Sơ Kỳ,cultivation,stage,
中期,中期,Middle Stage,Trung Kỳ,cultivation,stage,
后期,後期,Late Stage,Hậu Kỳ,cultivation,stage,
普通,普通,Normal,Phổ Thông,rarity,,Common items/traits
稀有,稀有,Rare,Hiếm Có,rarity,,Uncommon items/traits
超稀有,超稀有,Super Rare,Siêu Hiếm,rarity,,Rare items/traits
传说,傳說,Legendary,Truyền Thuyết,rarity,,Legendary items/traits
金,金,Metal,Kim,element,,Also: Gold
木,木,Wood,Mộc,element,,
水,水,Water,Thủy,element,,
火,火,Fire,Hỏa,element,,
土,土,Earth,Thổ,element,,
冰,冰,Ice,Băng,element,,Extended element
风,風,Wind,Phong,element,,Extended element
暗,暗,Dark,Ám,element,,Extended element
雷,雷,Thunder,Lôi,element,,Also: Lightning
邪,邪,Evil,Tà,element,,Dark arts attribute
金灵根,金靈根,Metal Spiritual Root,Kim Linh Căn,root,,
木灵根,木靈根,Wood Spiritual Root,Mộc Linh Căn,root,,
水灵根,水靈根,Water Spiritual Root,Thủy Linh Căn,root,,
火灵根,火靈根,Fire Spiritual Root,Hỏa Linh Căn,root,,
土灵根,土靈根,Earth Spiritual Root,Thổ Linh Căn,root,,
天灵根,天靈根,Heavenly Spiritual Root,Thiên Linh Căn,root,,Rare - all-element affinity
雷灵根,雷靈根,Thunder Spiritual Root,Lôi Linh Căn,root,,
冰灵根,冰靈根,Ice Spiritual Root,Băng Linh Căn,root,,
风灵根,風靈根,Wind Spiritual Root,Phong Linh Căn,root,,
暗灵根,暗靈根,Dark Spiritual Root,Ám Linh Căn,root,,
东,東,East,Đông,direction,,
南,南,South,Nam,direction,,
西,西,West,Tây,direction,,
北,北,North,Bắc,direction,,
正,正,Righteous,Chính,alignment,,Orthodox sects
中立,中立,Neutral,Trung Lập,alignment,,
邪,邪,Evil,Tà,alignment,,Demonic/Unorthodox
明心剑宗,明心劍宗,Bright Heart Sword Sect,Minh Tâm Kiếm Tông,sect,name,Sword cultivation specialists
百兽宗,百獸宗,Hundred Beasts Sect,Bách Thú Tông,sect,name,Beast taming specialists
水镜宗,水鏡宗,Water Mirror Sect,Thủy Kính Tông,sect,name,Divination and foresight
冥王宗,冥王宗,Underworld King Sect,Minh Vương Tông,sect,name,Death and netherworld arts
朱勾宗,朱勾宗,Crimson Hook Sect,Chu Câu Tông,sect,name,Assassination and hidden weapons
合欢宗,合歡宗,Joy Union Sect,Hợp Hoan Tông,sect,name,Dual cultivation specialists
镇魂宗,鎮魂宗,Soul Suppression Sect,Trấn Hồn Tông,sect,name,Exorcism and soul arts
幽魂噬影宗,幽魂噬影宗,Phantom Shadow Sect,U Hồn Phệ Ảnh Tông,sect,name,Stealth and shadow arts
