id,name_id,desc_id,name,desc,orthodoxy_id,member_act_style,alignment,weight,preferred_weapon,effects,rank_names,color,rule_id,rule_desc_id
,名称ID,描述ID,,宗门名称与描述,道统ID(dao/buddhism/confucianism/wu),宗门成员行事风格,阵营(正/中立/邪),权重(默认1),倾向兵器类型,effects(JSON形式，支持宽松格式，见effects.py说明),自定义职位(掌门;长老;内门;外门),门派颜色,门规规则ID,门规描述ID
1,SECT_1_NAME,SECT_1_DESC,凌霄剑宗,第一宗，以无上剑道称雄于世。镇派绝学为“九霄御雷剑诀”。【剑心通明】作为剑修，你使用剑类兵器时战力惊人，且在剑道上的感悟速度远超常人。,,SECT_1_STYLE,RIGHTEOUS,1,SWORD,"{extra_battle_strength_points: 3, extra_weapon_proficiency_gain: 0.5}",,#4DD0E1,righteous_orthodoxy,SECT_1_RULE_DESC
2,SECT_2_NAME,SECT_2_DESC,万兽魔山,以驯养凶兽闻名，豢养各种妖兽灵怪为战力。【万兽之主】你拥有独特的御兽天赋，捕捉妖兽对你来说轻而易举，善于驱使兽群为你而战。,,SECT_2_STYLE,EVIL,1,WHIP,"{extra_catch_success_rate: 0.25, extra_hunt_materials: 1}",SECT_2_RANK_PATRIARCH;SECT_2_RANK_ELDER;SECT_2_RANK_INNER;SECT_2_RANK_OUTER,#8D6E63,evil_sect_loyalty,SECT_2_RULE_DESC
3,SECT_3_NAME,SECT_3_DESC,听涛阁,居于海外孤岛，实则严守中立。拥有一块上古奇石“观海玉璧”，可窥探天机。【知天命】你拥有超乎常人的直觉，视野开阔，且极易在探索中发现奇遇。,,SECT_3_STYLE,NEUTRAL,1,FAN,"{extra_observation_radius: 2, extra_fortune_probability: 0.002, extra_refine_success_rate: 0.05}",SECT_3_RANK_PATRIARCH;SECT_3_RANK_ELDER;SECT_3_RANK_INNER;SECT_3_RANK_OUTER,#4FC3F7,neutral_secrecy,SECT_3_RULE_DESC
4,SECT_4_NAME,SECT_4_DESC,九幽黄泉道,参悟生死枯荣，接引黄泉之力，术法阴冷狠厉。【黄泉渡魂】你修行黄泉之法，心志坚定，突破瓶颈时心无杂念，成功率更高。,,SECT_4_STYLE,EVIL,1,FAN,"{extra_breakthrough_success_rate: 0.1, extra_retreat_success_rate: 0.1}",SECT_4_RANK_PATRIARCH;SECT_4_RANK_ELDER;SECT_4_RANK_INNER;SECT_4_RANK_OUTER,#7E57C2,evil_sect_loyalty,SECT_4_RULE_DESC
5,SECT_5_NAME,SECT_5_DESC,千机诡门,邪宗大派。以机关、傀儡、毒杀闻名于世，素来行踪诡秘。【诡道刺杀】你精通潜伏与刺杀，对于强敌，避开正面交锋、伺机暗杀往往是你最佳的制胜之道。,,SECT_5_STYLE,EVIL,1,HIDDEN_WEAPON,"{extra_assassinate_success_rate: 0.15, extra_battle_strength_points: 1, extra_cast_success_rate: 0.05}",SECT_5_RANK_PATRIARCH;SECT_5_RANK_ELDER;SECT_5_RANK_INNER;SECT_5_RANK_OUTER,#4CAF50,evil_sect_loyalty,SECT_5_RULE_DESC
6,SECT_6_NAME,SECT_6_DESC,醉梦楼,以情入道，靠双修增进修为，善驭人心，长于权变。【红尘炼心】你的体质特殊，通过双修能获得远超常人的修为提升，这是你提升境界的最佳捷径。,,SECT_6_STYLE,NEUTRAL,1,ZITHER,"{extra_dual_cultivation_exp: 150, shop_buy_price_reduction: 0.1}",SECT_6_RANK_PATRIARCH;SECT_6_RANK_ELDER;SECT_6_RANK_INNER;SECT_6_RANK_OUTER,#E91E63,neutral_secrecy,SECT_6_RULE_DESC
7,SECT_7_NAME,SECT_7_DESC,须弥禅院,佛门圣地，以金刚之躯镇压世间妖邪。【金身罗汉】你修习护体神功，拥有极强的肉身防御与伤害减免能力，如山岳般不可撼动。,buddhism,SECT_7_STYLE,RIGHTEOUS,1,STAFF,"{extra_max_hp: 100, damage_reduction: 0.15}",SECT_7_RANK_PATRIARCH;SECT_7_RANK_ELDER;SECT_7_RANK_INNER;SECT_7_RANK_OUTER,#FFC107,righteous_orthodoxy,SECT_7_RULE_DESC
8,SECT_8_NAME,SECT_8_DESC,影煞殿,镇宗典籍《影杀真经》。以地煞阴气为根基。【如影随形】你极擅身法与遁术，遇到危险时总能全身而退，亦能伺机刺杀落单之敌。,,SECT_8_STYLE,EVIL,1,SABER,"{extra_escape_success_rate: 0.4, extra_assassinate_success_rate: 0.15}",SECT_8_RANK_PATRIARCH;SECT_8_RANK_ELDER;SECT_8_RANK_INNER;SECT_8_RANK_OUTER,#607D8B,evil_sect_loyalty,SECT_8_RULE_DESC
9,SECT_9_NAME,SECT_9_DESC,万宝仙盟,由商会发展而来的庞大势力。拥有“流云飞舟”商队，富甲天下。【财通鬼神】你深谙炼器与经商之道，温养兵器时常能使其脱胎换骨，且在交易中总能获利。,,SECT_9_STYLE,NEUTRAL,1,SPEAR,"{extra_item_sell_price_multiplier: 0.05, extra_weapon_upgrade_chance: 0.15, extra_cast_success_rate: 0.05, shop_buy_price_reduction: 0.05}",SECT_9_RANK_PATRIARCH;SECT_9_RANK_ELDER;SECT_9_RANK_INNER;SECT_9_RANK_OUTER,#FF9800,neutral_secrecy,SECT_9_RULE_DESC
10,SECT_10_NAME,SECT_10_DESC,摄魂音宗,精擅天魔音律与精神操控，功法阴柔诡谲，以无形魔音乱人心智。【魔音摄魂】你擅长以音律乱人心智，灵力深厚绵长，虽不擅肉搏，但手段诡谲。,,SECT_10_STYLE,EVIL,1,ZITHER,"{extra_escape_success_rate: 0.5, extra_misfortune_probability: -0.005}",,#9C27B0,evil_sect_loyalty,SECT_10_RULE_DESC
11,SECT_11_NAME,SECT_11_DESC,天衍阵宗,当世第一阵法大派，讲究天道演算，以万物为棋，山川为阵。【阵法通神】你善用阵法辅助修炼，能够聚集天地灵气，修炼速度快于常人，且常有意外收获。,,SECT_11_STYLE,RIGHTEOUS,1,HIDDEN_WEAPON,"{respire_duration_reduction: 0.1, extra_fortune_probability: 0.005}",,#2196F3,righteous_orthodoxy,SECT_11_RULE_DESC
12,SECT_12_NAME,SECT_12_DESC,长明宫,修习“大光明金身”，信奉光明不灭。以武入道，肉身成圣。拥有极强的生命秘术。【光耀长生】你的生命力极其顽强，疗伤效果倍增，寿元亦远超同阶修士。,wu,SECT_12_STYLE,RIGHTEOUS,1,STAFF,"{extra_hp_recovery_rate: 0.5, extra_max_lifespan: 20}",SECT_12_RANK_PATRIARCH;SECT_12_RANK_ELDER;SECT_12_RANK_INNER;SECT_12_RANK_OUTER,#FFF176,righteous_orthodoxy,SECT_12_RULE_DESC
13,SECT_13_NAME,SECT_13_DESC,浩然书院,儒家正统，养浩然之气。行事刚正，言出法随，克制邪魔。【吾善养气】你养浩然之气，气脉悠长，面对境界低于自己的敌人时，能发挥出极强的压制力。,confucianism,SECT_13_STYLE,RIGHTEOUS,1,SWORD,"{realm_suppression_bonus: 0.15, extra_educate_efficiency: 0.2, extra_educate_population_prob: 0.1}",,#A1887F,righteous_orthodoxy,SECT_13_RULE_DESC
14,SECT_14_NAME,SECT_14_DESC,罗刹血宗,元衍界第一魔宗，行事霸道残忍，崇尚“弱肉强食”，通过掠夺与血祭提升修为。【血海滔天】你崇尚力量与掠夺，搜刮凡人虽有伤天和，但能为你带来惊人的财富与资源。,,SECT_14_STYLE,EVIL,1,SABER,"{extra_plunder_multiplier: 2.0, extra_battle_strength_points: 2}",,#E57373,evil_sect_loyalty,SECT_14_RULE_DESC
